Common_Course_ID,has_prereq
AAAP431,Has pre-req
ACTG213,Has pre-req
ACTG340,Has pre-req
ACTG350,Has pre-req
ACTG351,Has pre-req
ACTG352,Has pre-req
ACTG360,Has pre-req
ACTG410,Has pre-req
ACTG440,Has pre-req
ACTG450,Has pre-req
ACTG470,Has pre-req
ACTG480,Has pre-req
AEII011,Has pre-req
AEII012,Has pre-req
AEII013,Has pre-req
AEII014,Has pre-req
AEII015,Has pre-req
AEII016,Has pre-req
AEII021,Has pre-req
AEII022,Has pre-req
AEII023,Has pre-req
AEII024,Has pre-req
AEII025,Has pre-req
AEII026,Has pre-req
AEII031,Has pre-req
AEII032,Has pre-req
AEII033,Has pre-req
AEII034,Has pre-req
AEII035,Has pre-req
AEII036,Has pre-req
AEIS101,Has pre-req
AEIS107,Has pre-req
AEIS108,Has pre-req
AEIS110,Has pre-req
AEIS112,Has pre-req
ANTH311,Has pre-req
ANTH320,Has pre-req
ANTH322,Has pre-req
ANTH340,Has pre-req
ANTH343,Has pre-req
ANTH348,Has pre-req
ANTH361,Has pre-req
ANTH366,Has pre-req
ANTH368,Has pre-req
ANTH373,Has pre-req
ANTH375,Has pre-req
ANTH376,Has pre-req
ANTH417,Has pre-req
ANTH419,Has pre-req
ANTH420,Has pre-req
ANTH428M,Has pre-req
ANTH434,Has pre-req
ANTH440,Has pre-req
ANTH442,Has pre-req
ANTH443,Has pre-req
ANTH444,Has pre-req
ANTH445,Has pre-req
ANTH448,Has pre-req
ANTH449,Has pre-req
ANTH451,Has pre-req
ANTH456,Has pre-req
ANTH459,Has pre-req
ANTH460,Has pre-req
ANTH462,Has pre-req
ANTH463,Has pre-req
ANTH466,Has pre-req
ANTH467,Has pre-req
ANTH470,Has pre-req
ANTH471,Has pre-req
ANTH472,Has pre-req
ANTH473,Has pre-req
ANTH474,Has pre-req
ANTH475,Has pre-req
ANTH479,Has pre-req
ANTH481,Has pre-req
ANTH487,Has pre-req
ARB102,Has pre-req
ARB103,Has pre-req
ARB201,Has pre-req
ARB202,Has pre-req
ARB203,Has pre-req
ARB301,Has pre-req
ARB302,Has pre-req
ARB303,Has pre-req
ARB331,Has pre-req
ARB431,Has pre-req
ARCH202,Has pre-req
ARCH222,Has pre-req
ARCH283,Has pre-req
ARCH284,Has pre-req
ARCH383,Has pre-req
