Common_Course_ID,has_prereq,Course_Dept,Course_Num,,
AAAP431,Has pre-req,AAAP,431,,
ACTG213,Has pre-req,ACTG,213,,
ACTG340,Has pre-req,ACTG,340,,
ACTG350,Has pre-req,ACTG,350,,
ACTG351,Has pre-req,ACTG,351,,
ACTG352,Has pre-req,ACTG,352,,
ACTG360,Has pre-req,ACTG,360,,
ACTG410,Has pre-req,ACTG,410,,
ACTG440,Has pre-req,ACTG,440,,
ACTG450,Has pre-req,ACTG,450,,
ACTG470,Has pre-req,ACTG,470,,
ACTG480,Has pre-req,ACTG,480,,
AEII011,Has pre-req,AEII,11,,
AEII012,Has pre-req,AEII,12,,
AEII013,Has pre-req,AEII,13,,
AEII014,Has pre-req,AEII,14,,
AEII015,Has pre-req,AEII,15,,
AEII016,Has pre-req,AEII,16,,
AEII021,Has pre-req,AEII,21,,
AEII022,Has pre-req,AEII,22,,
AEII023,Has pre-req,AEII,23,,
AEII024,Has pre-req,AEII,24,,
AEII025,Has pre-req,AEII,25,,
AEII026,Has pre-req,AEII,26,,
AEII031,Has pre-req,AEII,31,,
AEII032,Has pre-req,AEII,32,,
AEII033,Has pre-req,AEII,33,,
AEII034,Has pre-req,AEII,34,,
AEII035,Has pre-req,AEII,35,,
AEII036,Has pre-req,AEII,36,,
AEIS101,Has pre-req,AEIS,101,,
AEIS107,Has pre-req,AEIS,107,,
AEIS108,Has pre-req,AEIS,108,,
AEIS110,Has pre-req,AEIS,110,,
AEIS112,Has pre-req,AEIS,112,,
ANTH311,Has pre-req,ANTH,311,,
ANTH320,Has pre-req,ANTH,320,,
ANTH322,Has pre-req,ANTH,322,,
ANTH340,Has pre-req,ANTH,340,,
ANTH343,Has pre-req,ANTH,343,,
ANTH348,Has pre-req,ANTH,348,,
ANTH361,Has pre-req,ANTH,361,,
ANTH366,Has pre-req,ANTH,366,,
ANTH368,Has pre-req,ANTH,368,,
ANTH373,Has pre-req,ANTH,373,,
ANTH375,Has pre-req,ANTH,375,,
ANTH376,Has pre-req,ANTH,376,,
ANTH417,Has pre-req,ANTH,417,,
ANTH419,Has pre-req,ANTH,419,,
ANTH420,Has pre-req,ANTH,420,,
ANTH428M,Has pre-req,ANTH,428,,
ANTH434,Has pre-req,ANTH,434,,
ANTH440,Has pre-req,ANTH,440,,
ANTH442,Has pre-req,ANTH,442,,
ANTH443,Has pre-req,ANTH,443,,
ANTH444,Has pre-req,ANTH,444,,
ANTH445,Has pre-req,ANTH,445,,
ANTH448,Has pre-req,ANTH,448,,
ANTH449,Has pre-req,ANTH,449,,
ANTH451,Has pre-req,ANTH,451,,
ANTH456,Has pre-req,ANTH,456,,
ANTH459,Has pre-req,ANTH,459,,
ANTH460,Has pre-req,ANTH,460,,
ANTH462,Has pre-req,ANTH,462,,
ANTH463,Has pre-req,ANTH,463,,
ANTH466,Has pre-req,ANTH,466,,
ANTH467,Has pre-req,ANTH,467,,
ANTH470,Has pre-req,ANTH,470,,
ANTH471,Has pre-req,ANTH,471,,
ANTH472,Has pre-req,ANTH,472,,
ANTH473,Has pre-req,ANTH,473,,
ANTH474,Has pre-req,ANTH,474,,
ANTH475,Has pre-req,ANTH,475,,
ANTH479,Has pre-req,ANTH,479,,
ANTH481,Has pre-req,ANTH,481,,
ANTH487,Has pre-req,ANTH,487,,
ARB102,Has pre-req,ARB,102,,
ARB103,Has pre-req,ARB,103,,
ARB201,Has pre-req,ARB,201,,
ARB202,Has pre-req,ARB,202,,
ARB203,Has pre-req,ARB,203,,
ARB301,Has pre-req,ARB,301,,
ARB302,Has pre-req,ARB,302,,
ARB303,Has pre-req,ARB,303,,
ARB331,Has pre-req,ARB,331,,
ARB431,Has pre-req,ARB,431,,
ARCH202,Has pre-req,ARCH,202,,
ARCH222,Has pre-req,ARCH,222,,
ARCH283,Has pre-req,ARCH,283,,
ARCH284,Has pre-req,ARCH,284,,
ARCH383,Has pre-req,ARCH,383,,
ARCH384,Has pre-req,ARCH,384,,
ARCH417,Has pre-req,ARCH,417,,
ARCH423,Has pre-req,ARCH,423,,
ARCH424,Has pre-req,ARCH,424,,
ARCH430,Has pre-req,ARCH,430,,
ARCH436,Has pre-req,ARCH,436,,
ARCH440,Has pre-req,ARCH,440,,
ARCH449,Has pre-req,ARCH,449,,
ARCH450,Has pre-req,ARCH,450,,
ARCH457,Has pre-req,ARCH,457,,
ARCH458,Has pre-req,ARCH,458,,
ARCH461,Has pre-req,ARCH,461,,
ARCH462,Has pre-req,ARCH,462,,
ARCH470,Has pre-req,ARCH,470,,
ARCH471,Has pre-req,ARCH,471,,
ARCH480,Has pre-req,ARCH,480,,
ARCH484,Has pre-req,ARCH,484,,
ARCH485,Has pre-req,ARCH,485,,
ARCH486,Has pre-req,ARCH,486,,
ARCH491,Has pre-req,ARCH,491,,
ARCH492,Has pre-req,ARCH,492,,
ARCH493M,Has pre-req,ARCH,493,,
ARCH494M,Has pre-req,ARCH,494,,
ARCH495,Has pre-req,ARCH,495,,
ARCH496,Has pre-req,ARCH,496,,
ARCH498,Has pre-req,ARCH,498,,
ARH456,Has pre-req,ARH,456,,
ARH462,Has pre-req,ARH,462,,
ART116,Has pre-req,ART,116,,
ART333,Has pre-req,ART,333,,
ART381,Has pre-req,ART,381,,
ARTC255,Has pre-req,ARTC,255,,
ARTC354,Has pre-req,ARTC,354,,
ARTC355,Has pre-req,ARTC,355,,
ARTC455,Has pre-req,ARTC,455,,
ARTC469,Has pre-req,ARTC,469,,
ARTD256,Has pre-req,ARTD,256,,
ARTD350,Has pre-req,ARTD,350,,
ARTD360,Has pre-req,ARTD,360,,
ARTD361,Has pre-req,ARTD,361,,
ARTD362,Has pre-req,ARTD,362,,
ARTD370,Has pre-req,ARTD,370,,
ARTD378,Has pre-req,ARTD,378,,
ARTD379,Has pre-req,ARTD,379,,
ARTD412,Has pre-req,ARTD,412,,
ARTD413,Has pre-req,ARTD,413,,
ARTD416,Has pre-req,ARTD,416,,
ARTD463,Has pre-req,ARTD,463,,
ARTD471,Has pre-req,ARTD,471,,
ARTD472,Has pre-req,ARTD,472,,
ARTD478,Has pre-req,ARTD,478,,
ARTD494,Has pre-req,ARTD,494,,
ARTF268,Has pre-req,ARTF,268,,
ARTF269,Has pre-req,ARTF,269,,
ARTF270,Has pre-req,ARTF,270,,
ARTF368,Has pre-req,ARTF,368,,
ARTF369,Has pre-req,ARTF,369,,
ARTF370,Has pre-req,ARTF,370,,
ARTF456,Has pre-req,ARTF,456,,
ARTM257,Has pre-req,ARTM,257,,
ARTM357,Has pre-req,ARTM,357,,
ARTM457,Has pre-req,ARTM,457,,
ARTM459,Has pre-req,ARTM,459,,
ARTO250,Has pre-req,ARTO,250,,
ARTO251,Has pre-req,ARTO,251,,
ARTO350,Has pre-req,ARTO,350,,
ARTO352,Has pre-req,ARTO,352,,
ARTO354,Has pre-req,ARTO,354,,
ARTO450,Has pre-req,ARTO,450,,
ARTO455,Has pre-req,ARTO,455,,
ARTO476,Has pre-req,ARTO,476,,
