id,label,term,requisites
1,PHYS251,2,32;33;34;35;37
2,PHYS252,3,1
3,PHYS253,4,2
4,PHYS290,1,
5,PHYS351,4,35
6,PHYS352,5,5
7,PHYS353,6,6
8,PHYS369,2,43
9,PHYS389,5,40
10,PHYS391,5,3
11,PHYS411,6,41
12,PHYS412,5,40
13,PHYS413,6,12
14,PHYS414,6,12
15,PHYS415,7,14
16,PHYS417,8,15
17,PHYS421,5,35;36;40
18,PHYS422,7,13
19,PHYS423,5,3;41
20,PHYS424,7,7
21,PHYS425,8,
22,PHYS431,5,3;36
23,PHYS432,5,3;35;39
24,PHYS444,7,6;40
25,PHYS445,6,10
26,PHYS481,1,
27,PHYS483,7,11;13
28,PHYS489,7,14
29,PHYS491,5,3
30,PHYS492,6,29
31,PHYS493,7,30
32,MATH246,1,
33,MATH251,1,
34,MATH252,2,32;33;37;
35,MATH253,3,33;34;42
36,MATH256,4,35;39
37,MATH261,1,
38,MATH262,2,37
39,MATH263,1,
40,MATH281,4,35;39
41,MATH282,5,40
42,MATH247,2,32
43,PEO251,1,
